Village Name,Gram Panchayat,TALUK,district
Ganiganakoppa,Dhoolappalli,Mulbagal ,YADGIR
J Thimmasandra,J Thimmasandra,Srinivaspur ,YADGIR
Hoshalli,Gullahalli,Bangarpet ,YADGIR
Neelakantapura,Shapur,Kolar ,YADGIR
Nallappanahalli,Chokkandahalli,Malur ,YADGIR
Jadanagenahalli,Dhoolappalli,Mulbagal ,YADGIR
Kallur,J Thimmasandra,Srinivaspur ,YADGIR
Muthanuru,Gullahalli,Bangarpet ,YADGIR
Shapur,Shapur,Kolar ,YADGIR
Ramachandrapura Plantation,Chokkandahalli,Malur ,YADGIR
Yadapalli,Dhoolappalli,Mulbagal ,YADGIR
Katara Muddalahalli,J Thimmasandra,Srinivaspur ,YADGIR
Palamadagu,Gullahalli,Bangarpet ,YADGIR
Siresandra,Shapur,Kolar ,YADGIR
Thimmapura,Chokkandahalli,Malur ,YADGIR
Yalachepalli,Dhoolappalli,Mulbagal ,YADGIR
Kiruvara,J Thimmasandra,Srinivaspur ,YADGIR
Pataramagulla,Gullahalli,Bangarpet ,YADGIR
Yaranghatta,Shapur,Kolar ,YADGIR
Yeswanthapura,Chokkandahalli,Malur ,YADGIR
Emmenatha,Emmenatha,Mulbagal ,YADGIR
Kollur,J Thimmasandra,Srinivaspur ,YADGIR
Pura,Gullahalli,Bangarpet ,YADGIR
Dhanamatanahalli,Settihalli,Kolar ,YADGIR
Ahanya,Dadinaikanahallidoddi,Malur ,YADGIR
Gottikunte,Emmenatha,Mulbagal ,YADGIR
Nallapalli,J Thimmasandra,Srinivaspur ,YADGIR
Sontiganahalli,Gullahalli,Bangarpet ,YADGIR
Girijampete,Settihalli,Kolar ,YADGIR
Bantahalli,Dadinaikanahallidoddi,Malur ,YADGIR
Jogalakasti,Emmenatha,Mulbagal ,YADGIR
Narasimhapura,J Thimmasandra,Srinivaspur ,YADGIR
Abbigirihosahalli,Hulibele,Bangarpet ,YADGIR
Handrahalli,Settihalli,Kolar ,YADGIR
Bennagatta,Dadinaikanahallidoddi,Malur ,YADGIR
Kannasandra,Emmenatha,Mulbagal ,YADGIR
Pathapalli,J Thimmasandra,Srinivaspur ,YADGIR
Hanumanthapura,Hulibele,Bangarpet ,YADGIR
Kondenahalli,Settihalli,Kolar ,YADGIR
Dadinayakanadoddi,Dadinaikanahallidoddi,Malur ,YADGIR
Kannatha,Emmenatha,Mulbagal ,YADGIR
Peddanachapali,J Thimmasandra,Srinivaspur ,YADGIR
Hulibele,Hulibele,Bangarpet ,YADGIR
Medihala,Settihalli,Kolar ,YADGIR
Kadadanahalli,Dadinaikanahallidoddi,Malur ,YADGIR
Koravenur,Emmenatha,Mulbagal ,YADGIR
Srinivaspur,J Thimmasandra,Srinivaspur ,YADGIR
Hunasanahalli,Hulibele,Bangarpet ,YADGIR
Nandikamanahalli,Settihalli,Kolar ,YADGIR
Madamangala,Dadinaikanahallidoddi,Malur ,YADGIR
Kummarakunte,Emmenatha,Mulbagal ,YADGIR
Srinivaspur Amanikere,J Thimmasandra,Srinivaspur ,YADGIR
Kanivekallu,Hulibele,Bangarpet ,YADGIR
Purahalli,Settihalli,Kolar ,YADGIR
Padavanahalli,Dadinaikanahallidoddi,Malur ,YADGIR
Kuruba Chadumanahalli,Emmenatha,Mulbagal ,YADGIR
Thupalli,J Thimmasandra,Srinivaspur ,YADGIR
Koppa,Hulibele,Bangarpet ,YADGIR
Rajakallahalli,Settihalli,Kolar ,YADGIR
Tharabahalli,Dadinaikanahallidoddi,Malur ,YADGIR
