Village Name,Gram Panchayat,TALUK,district
Iragasandra,Madderi,Kolar ,YADGIR
Obatti,Huladenahalli,Malur ,YADGIR
Thammiareddihalli,Hebbani,Mulbagal ,YADGIR
Bodireddipalli,Mudinadagu,Srinivaspur ,YADGIR
Peddampalli,Kammasandra,Bangarpet ,YADGIR
Jambapura,Madderi,Kolar ,YADGIR
Thimmanayakanchalli,Huladenahalli,Malur ,YADGIR
Ubbandlahalli,Hebbani,Mulbagal ,YADGIR
Chikkevaripalli,Mudinadagu,Srinivaspur ,YADGIR
Peddapalli,Kammasandra,Bangarpet ,YADGIR
Kadripura,Madderi,Kolar ,YADGIR
Thirumalahatti,Huladenahalli,Malur ,YADGIR
Anehalli,Kappalamadugu,Mulbagal ,YADGIR
Chintamanipalli,Mudinadagu,Srinivaspur ,YADGIR
Ramapupa,Kammasandra,Bangarpet ,YADGIR
Lingapura,Madderi,Kolar ,YADGIR
Upasapura,Huladenahalli,Malur ,YADGIR
